"","species","logFC","p_value","logP"
"2183","Paenibacillus lycopersici",0.0552745181302123,0.958419525078303,0.0184443473468854
"2184","Paenibacillus rhizovicinus",0.0100829139041086,0.989757312362663,0.00447128098063464
"2185","Paenibacillus azoreducens",0.208218435158004,0.773676904719803,0.111440367214331
"2186","Paenibacillus protaetiae",0.105586813820882,0.887720709502285,0.0517236484111831
"2187","Paenibacillus xylanilyticus",0.0763016214225257,0.951170331069684,0.0217417047031514
"2188","Paenibacillus lutimineralis",0.577430148861732,0.474337422710077,0.323912610462296
"2189","Paenibacillus yonginensis",0.178979617382767,0.848721019243976,0.0712350420455292
"2190","Paenibacillus donghaensis",0.100644582709296,0.83196741324093,0.0798936839578377
"2191","Paenibacillus konkukensis",0.0847479249188027,0.903650222189495,0.0439996402863647
"2192","Paenibacillus sophorae",0.120997763616767,0.874151252073197,0.0584134160411887
"2193","Paenibacillus antarcticus",-0.551917915537634,0.715455037760551,0.145417653960178
"2194","Paenibacillus tianjinensis",0.0339401608111306,0.96648382576887,0.0148054095486258
"2195","Paenibacillus graminis",-0.104706524106083,0.903650222189495,0.0439996402863647
"2196","Paenibacillus odorifer",0.156740357096754,0.846605893600861,0.0723187125340812
"2197","Paenibacillus crassostreae",-0.402928756328068,0.728949135061083,0.137302775019462
"2198","Paenibacillus glucanolyticus",-0.0342757806036373,0.970076945218592,0.0131938167043563
"2199","Paenibacillus peoriae",0.258429646261127,0.761554575705543,0.118298968127727
"2200","Paenibacillus jilunlii",0.213226006000277,0.815163922139245,0.0887550497604247
"2201","Paenibacillus lentus",0.0578929821256524,0.935346020766539,0.0290276970313911
"2202","Paenibacillus uliginis",0.188881477092332,0.900761523245003,0.0453901733356103
"2203","Paenibacillus terrae",-0.369486923185861,0.722338301971554,0.141259356074408
"2204","Paenibacillus mucilaginosus",0.10850554863169,0.860581532197231,0.0652079779733017
"2205","Paenibacillus borealis",0.0938350125077334,0.903650222189495,0.0439996402863647
"2206","Paenibacillus brasilensis",0.0309069845124462,0.986138250634876,0.00606219532357336
"2207","Paenibacillus naphthalenovorans",0.260164042525267,0.735309873190481,0.133529602607945
"2208","Paenibacillus guangzhouensis",-0.157175866035249,0.871316636150277,0.0598239938515083
"2209","Paenibacillus swuensis",0.298295256071551,0.848721019243976,0.0712350420455292
"2210","Paenibacillus dendritiformis",0.412850620769055,0.178016189567456,0.749540499263667
"2211","Cohnella herbarum",0.251764426250306,0.831333448252388,0.0802247455426061
"2212","Cohnella cholangitidis",-0.119161443228153,0.901412972577551,0.0450761961227001
